report_id,rank,track_id,score,sub_idx
36,5,405,0.12633705139160156,15832
37,1,442,0.054148606956005096,17268
37,2,442,0.05699729546904564,17260
37,3,442,0.05883941054344177,17275
37,4,442,0.06004122272133827,17274
37,5,442,0.06046018376946449,17261
38,1,351,0.0795055478811264,13705
38,2,351,0.07952016592025757,13699
38,3,351,0.08003568649291992,13707
38,4,351,0.08167114853858948,13690
38,5,351,0.08193055540323257,13713
39,1,413,0.06654030084609985,16115
39,2,413,0.07003900408744812,16120
39,3,413,0.07791949808597565,16111
39,4,10,0.07995931804180145,394
39,5,10,0.08078989386558533,390
40,1,430,0.09755823761224747,16777
40,2,430,0.10364711284637451,16788
40,3,430,0.10541646182537079,16789
40,4,430,0.11032455414533615,16780
40,5,430,0.11170467734336853,16803
41,1,12,0.05535050854086876,479
41,2,12,0.05748876556754112,470
41,3,12,0.058073658496141434,473
41,4,12,0.0582028366625309,477
41,5,12,0.0604729987680912,468
42,1,204,0.09828684478998184,7980
42,2,383,0.09982486069202423,14942
42,3,225,0.10040029138326645,8811
42,4,204,0.1035691574215889,7981
42,5,204,0.10357692837715149,7985
43,1,252,0.09493272751569748,9847
43,2,252,0.09594322741031647,9862
43,3,252,0.0969831570982933,9855
43,4,252,0.09788151830434799,9849
43,5,252,0.09793417155742645,9830
44,1,330,0.058916348963975906,12893
44,2,330,0.06088262051343918,12885
44,3,330,0.06168404966592789,12901
44,4,330,0.06210584193468094,12907
44,5,330,0.0631432831287384,12900
45,1,97,0.11298462748527527,3789
45,2,97,0.11540906876325607,3798
45,3,97,0.11712492257356644,3818
45,4,97,0.11737147718667984,3812
45,5,97,0.11844897270202637,3804
46,1,167,0.07588336616754532,6514
46,2,167,0.07816313952207565,6523
46,3,490,0.07947143167257309,19148
46,4,25,0.07960856705904007,1011
46,5,25,0.08053162693977356,1004
47,1,456,0.07085379958152771,17794
47,2,456,0.0722920149564743,17807
47,3,456,0.07266045361757278,17814
47,4,456,0.07298865914344788,17821
47,5,456,0.07407727092504501,17806
48,1,175,0.05651789531111717,6826
48,2,175,0.0619453601539135,6840
48,3,175,0.06243559345602989,6831
48,4,175,0.0633581355214119,6832
48,5,175,0.06389865279197693,6843
49,1,16,0.06412491947412491,638
49,2,16,0.06624089181423187,646
49,3,16,0.06871246546506882,637
49,4,16,0.06985878199338913,640
49,5,16,0.07158775627613068,648
50,1,46,0.10334216058254242,1796
50,2,474,0.10536584258079529,18486
50,3,326,0.10921957343816757,12743
50,4,484,0.10938262939453125,18881
50,5,420,0.10961615294218063,16412
51,1,30,0.07103317230939865,1179
51,2,30,0.07764554768800735,1170
51,3,30,0.08057787269353867,1172
51,4,30,0.08132375031709671,1181
51,5,30,0.08171055465936661,1180
52,1,243,0.09275737404823303,9484
52,2,243,0.09877622872591019,9485
52,3,243,0.09938082844018936,9483
52,4,384,0.10078337043523788,15007
52,5,384,0.10113111138343811,15014
53,1,380,0.04839283600449562,14852
53,2,380,0.049736425280570984,14853
53,3,380,0.053243931382894516,14855
53,4,380,0.05468422919511795,14845
53,5,301,0.0552017018198967,11776
54,1,262,0.11346735805273056,10225
54,2,262,0.12596189975738525,10218
54,3,262,0.12985734641551971,10223
54,4,262,0.13168394565582275,10226
54,5,262,0.13350117206573486,10236
55,1,487,0.0747915580868721,19006
55,2,487,0.08070241659879684,19014
55,3,487,0.08080058544874191,18997
55,4,487,0.08223952353000641,19015
55,5,487,0.08442007005214691,19023
56,1,308,0.08903136104345322,12031
56,2,308,0.09001872688531876,12023
56,3,308,0.09092067182064056,12022
56,4,308,0.09177544713020325,12030
56,5,308,0.0919020026922226,12014
57,1,46,0.08400779217481613,1799
57,2,46,0.08913139253854752,1807
57,3,46,0.09038183838129044,1826
57,4,46,0.09156055003404617,1808
57,5,46,0.09186729788780212,1827
58,1,335,0.06075374409556389,13096
58,2,441,0.06090268865227699,17214
58,3,441,0.0614996962249279,17205
58,4,441,0.061974700540304184,17230
58,5,441,0.06215333193540573,17206
59,1,95,0.08236155658960342,3715
59,2,95,0.08638956397771835,3722
59,3,95,0.08735493570566177,3714
59,4,95,0.08810094743967056,3717
59,5,95,0.08865196257829666,3716
60,1,271,0.07369529455900192,10590
60,2,271,0.07544656097888947,10592
60,3,271,0.07592380791902542,10600
60,4,271,0.07663604617118835,10598
60,5,271,0.07736176252365112,10591
61,1,58,0.09938772767782211,2291
61,2,58,0.09979291260242462,2288
61,3,58,0.10077124089002609,2289
61,4,58,0.10081323236227036,2287
61,5,58,0.10513421893119812,2281
62,1,199,0.050782423466444016,7795
62,2,199,0.051028311252593994,7796
62,3,199,0.05154663696885109,7797
62,4,199,0.055250268429517746,7794
62,5,199,0.05647727847099304,7793
63,1,253,0.059971194714307785,9879
63,2,253,0.06392056494951248,9887
63,3,253,0.0643286257982254,9885
63,4,253,0.06500470638275146,9886
63,5,253,0.06701426953077316,9888
64,1,448,0.04590493068099022,17483
64,2,48,0.046433594077825546,1896
64,3,448,0.047876469790935516,17474
64,4,48,0.0482250340282917,1874
64,5,448,0.04844822734594345,17488
65,1,85,0.12537233531475067,3340
65,2,85,0.1285715103149414,3317
65,3,85,0.1294645369052887,3347
65,4,85,0.13493667542934418,3342
65,5,85,0.13546307384967804,3332
66,1,413,0.051852159202098846,16120
66,2,413,0.05493977665901184,16136
66,3,413,0.05732211843132973,16128
66,4,413,0.05739018693566322,16135
66,5,413,0.058877892792224884,16142
67,1,122,0.050717826932668686,4789
67,2,122,0.05158362537622452,4781
67,3,122,0.05226719379425049,4787
67,4,122,0.05251237377524376,4782
67,5,122,0.05261499434709549,4773
68,1,427,0.044729068875312805,16655
68,2,471,0.04753286764025688,18404
68,3,427,0.05073368921875954,16664
